Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       18     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false>*)
  0.00      0.00     0.00       18     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, bool>, false> > >::_M_node_allocator()
  0.00      0.00     0.00       18     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false>*)
  0.00      0.00     0.00       18     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, int> >::_M_valptr()
  0.00      0.00     0.00       18     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, bool>, false> >, true>::_M_get()
  0.00      0.00     0.00       18     0.00     0.00  std::__detail::operator!=(std::__detail::_Node_iterator_base<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false> const&, std::__detail::_Node_iterator_base<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false> const&)
  0.00      0.00     0.00       18     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00       17     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_ptr() const
  0.00      0.00     0.00       17     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_addr() const
  0.00      0.00     0.00       17     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       17     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       17     0.00     0.00  std::_Hashtable<int, std::pair<int const, bool>, std::allocator<std::pair<int const, bool> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.00     0.00       17     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const&>(std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const&) const
  0.00      0.00     0.00       17     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, bool>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.00     0.00       17     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_v() const
  0.00      0.00     0.00       17     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::_M_valptr() const
  0.00      0.00     0.00       17     0.00     0.00  int const& std::__pair_get<0ul>::__const_get<int const, std::__cxx11::list<int, std::allocator<int> > >(std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const&)
  0.00      0.00     0.00       17     0.00     0.00  std::unordered_map<int, std::__cxx11::list<int, std::allocator<int> >, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > > >::operator[](int const&)
